Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0019,19.254369614118623,Valid
TST-0168,13.414739737227764,Invalid
TST-0007,18.06513632605288,Valid
TST-0211,31.91710627639052,Valid
TST-0016,34.667453187675896,Valid
TST-0027,18.62191273746967,Invalid
TST-0031,16.968007040030077,Invalid
TST-0249,27.668966489515626,Valid
TST-0011,15.76363372642912,Valid
TST-0080,22.40934970368609,Invalid
TST-0121,15.428474523132333,Valid
TST-0266,19.279341024216208,Valid
TST-0198,23.125525949241535,Valid
TST-0067,32.05305883155939,Valid
TST-0102,21.029252515236834,Valid
TST-0005,36.995842978503816,Valid
TST-0003,30.02988098105111,Valid
TST-0132,43.3580579370646,Valid
TST-0029,25.633968919854304,Valid
TST-0221,29.777618234706125,Valid
TST-0099,16.74967841463358,Valid
TST-0062,16.903586640672984,Valid
TST-0095,25.052404643039246,Valid
TST-0126,16.222427767528828,Valid
TST-0034,49.67608702715008,Valid
TST-0103,15.2730200982741,Valid
TST-0245,22.381485773330816,Valid
TST-0058,49.311562800180425,Valid
TST-0065,25.730266539143493,Valid
TST-0086,18.822397362650356,Valid
TST-0342,20.939955374497984,Valid
TST-0335,17.409138282668735,Valid
TST-0180,19.388283181806134,Invalid
TST-0294,23.31140520363315,Invalid
TST-0072,20.74400246382445,Valid
TST-0315,49.715420413433066,Invalid
TST-0182,44.85700254153744,Valid
TST-0200,22.09780041698907,Valid
TST-0030,16.612062487708656,Valid
TST-0193,16.173181934970664,Valid
TST-0231,21.516034224707948,Valid
TST-0128,25.618161654694493,Valid
TST-0165,26.782982990298553,Invalid
TST-0074,13.634861311055547,Valid
TST-0004,33.93050499125086,Valid
TST-0157,24.443648979782967,Valid
TST-0143,25.072137275109295,Valid
TST-0179,43.13094388797876,Valid
TST-0075,27.709305312202176,Valid
TST-0233,25.102204135684467,Valid
TST-0111,26.211087122146157,Valid
TST-0350,21.35775440541668,Valid
TST-0122,16.862992801815977,Valid
TST-0076,22.785194219860593,Valid
TST-0304,26.321714483312128,Valid
TST-0190,29.640860977648437,Valid
TST-0061,16.529330869847364,Valid
TST-0009,28.62831376020522,Valid
TST-0194,44.15014515124203,Valid
TST-0156,14.679858570913,Invalid
TST-0088,32.6905710059642,Valid
TST-0256,47.456646185524995,Valid
TST-0329,16.82024645600812,Valid
TST-0219,42.72948677175224,Valid
TST-0306,14.008806358191228,Valid
TST-0324,23.40226533422356,Valid
TST-0113,21.314311807996816,Valid
TST-0135,16.06201218510051,Valid
TST-0339,17.22274261847015,Valid
TST-0260,20.949399391601986,Valid
TST-0195,26.393717757965575,Valid
TST-0286,28.582895466440572,Valid
TST-0015,24.4047180448304,Valid
TST-0263,19.71861766467703,Valid
TST-0147,23.70024886712855,Valid
TST-0002,23.805431669541804,Invalid
TST-0114,44.4770161054189,Valid
TST-0271,30.617461778553476,Invalid
TST-0223,21.05624225435859,Valid
TST-0344,16.90263548960682,Valid
TST-0183,31.592398558158777,Valid
TST-0327,32.468587846627365,Valid
TST-0250,20.20386790025364,Invalid
TST-0185,38.554342270201744,Valid
TST-0242,20.745889181551014,Valid
TST-0158,13.286609273999948,Valid
TST-0078,45.11016493525436,Valid
TST-0120,20.602295596595763,Invalid
TST-0093,29.331972053722893,Valid
TST-0051,17.220393412698826,Valid
TST-0010,15.329176188888427,Valid
TST-0013,51.788421168939166,Valid
TST-0049,14.640299432834393,Valid
TST-0041,17.60939463028801,Valid
TST-0055,32.128410586392356,Valid
TST-0012,20.702169046085334,Valid
TST-0127,48.17003627652992,Valid
TST-0225,26.270924672252786,Valid
TST-0050,23.38449077707908,Valid
TST-0172,39.40114107919624,Invalid
TST-0079,33.20155143559817,Valid
TST-0046,21.054366523550055,Valid
TST-0325,17.994408077983657,Valid
TST-0280,21.86580491181462,Valid
TST-0140,14.583448298862312,Valid
TST-0244,49.715420413433066,Invalid
TST-0203,21.48084199509422,Valid
TST-0238,19.08094965914963,Valid
TST-0092,28.38502649170002,Valid
TST-0307,14.282833585339418,Valid
TST-0176,30.338247168932345,Valid
TST-0115,17.290893363770863,Invalid
TST-0028,20.461101602776193,Invalid
TST-0317,21.771442347519375,Valid
TST-0251,37.87444821761959,Valid
TST-0301,14.497399277221877,Valid
TST-0116,38.229906665805615,Valid
TST-0056,25.6898029407737,Valid
TST-0166,26.797342196142157,Valid
TST-0247,32.350485483709754,Valid
TST-0291,26.590932041118194,Valid
TST-0167,29.759447952223965,Invalid
TST-0313,47.625966404771425,Valid
TST-0105,13.695930278525921,Valid
TST-0104,21.29376932915296,Valid
TST-0045,35.775609328372155,Valid
TST-0289,42.27233779315724,Valid
TST-0048,24.677200681915465,Valid
TST-0110,18.86983952282789,Valid
TST-0037,42.68129208330301,Invalid
TST-0305,18.087699845184368,Valid
TST-0240,32.50276832543431,Valid
TST-0155,35.04914755780751,Valid
TST-0119,53.40592903467373,Valid
TST-0295,23.885782907712404,Valid
TST-0229,18.148348448158814,Valid
TST-0106,20.69857685686997,Valid
TST-0052,16.267836869128182,Valid
TST-0276,22.95832203389122,Invalid
TST-0216,20.912530702572102,Valid
TST-0208,20.955574071804506,Valid
TST-0188,21.67503471500686,Valid
TST-0145,48.65571740280598,Valid
TST-0039,21.192931383366417,Valid
TST-0173,19.48833166388676,Valid
TST-0082,20.41369523349536,Valid
TST-0296,36.783672638948765,Valid
TST-0297,32.224728687916794,Valid
TST-0125,17.08976913396873,Valid
TST-0199,22.875624058326878,Invalid
TST-0330,21.21050358398163,Valid
TST-0133,35.63814587136604,Valid
TST-0175,31.170997635286678,Valid
TST-0270,44.98055715739545,Valid
TST-0255,17.013666684406655,Valid
TST-0025,13.544969976892984,Valid
TST-0073,13.341349758109532,Valid
TST-0077,21.51019156937731,Valid
TST-0293,14.516247086373587,Valid
TST-0212,34.14263044541765,Invalid
TST-0081,13.552644045426183,Valid
TST-0328,20.856203061927218,Valid
TST-0290,50.88257286663363,Invalid
TST-0337,17.926275119196042,Valid
TST-0171,24.89492809007819,Valid
TST-0057,29.826833507616044,Valid
TST-0284,19.452201392805108,Valid
TST-0063,24.39700404090598,Invalid
TST-0022,19.65956534276913,Valid
TST-0044,18.0088247588617,Valid
TST-0035,24.67111148213465,Valid
TST-0258,43.672090566291914,Invalid
TST-0334,26.12962181058019,Valid
TST-0018,27.747070905820305,Valid
TST-0321,21.111795576568788,Valid
TST-0282,13.879385515683664,Valid
TST-0142,45.770379416444584,Invalid
TST-0312,22.20921616387583,Valid
TST-0101,22.87459592973782,Valid
TST-0134,18.10551755510854,Invalid
TST-0287,31.80077743263332,Valid
TST-0153,32.80025569117716,Valid
TST-0299,30.889732963814364,Valid
TST-0204,22.40934970368609,Invalid
TST-0090,19.42973000225861,Valid
TST-0186,34.60003841333055,Valid
TST-0209,48.821537688678866,Valid
TST-0130,22.69575833219455,Valid
TST-0224,24.413576568615976,Valid
TST-0302,27.91317682971293,Valid
TST-0118,15.11501315523946,Valid
TST-0292,19.73123641831366,Valid
TST-0345,21.294692506017128,Invalid
TST-0108,21.557541377317285,Valid
TST-0071,15.571852794372035,Valid
TST-0053,15.461367190827282,Valid
TST-0273,16.595331142110105,Valid
TST-0300,14.691273528425812,Valid
TST-0148,20.27531566320157,Valid
TST-0347,38.87662514066771,Valid
TST-0146,26.782982990298553,Invalid
TST-0241,18.23069469329301,Valid
TST-0096,17.223149334977442,Valid
TST-0220,23.133427466746273,Valid
TST-0174,24.38094035753706,Valid
TST-0246,14.200828729418548,Valid
TST-0136,18.88747567755174,Valid
TST-0109,24.056462438461025,Valid
TST-0040,38.248285093235495,Valid
TST-0043,20.818113602355744,Invalid
TST-0181,37.11700226556659,Valid
TST-0268,16.952063673644844,Valid
TST-0253,15.690969854726978,Valid
TST-0017,25.357019594718082,Valid
TST-0201,23.56840666902739,Valid
TST-0129,16.947020896850297,Valid
TST-0068,47.85211954631211,Valid
TST-0161,15.55418141764101,Valid
TST-0298,21.906114673348668,Invalid
TST-0094,41.622193456611036,Valid
TST-0336,26.065759023515238,Invalid
TST-0149,18.90081351394288,Valid
TST-0191,47.99310679640667,Valid
TST-0032,18.995840576101855,Valid
TST-0054,16.562232993759828,Valid
TST-0349,58.077992641577254,Valid
TST-0100,17.181544965383942,Valid
TST-0162,20.986037503860054,Valid
TST-0326,24.008542503499037,Invalid
TST-0340,19.141159685400872,Valid
TST-0319,27.951028419776577,Valid
TST-0064,18.21636224503151,Valid
TST-0259,27.870350129344438,Valid
TST-0066,43.011580453841745,Valid
TST-0123,47.423114234804984,Valid
TST-0218,21.11070547622762,Valid
TST-0261,21.76921089880273,Valid
TST-0196,20.289885919470763,Valid
TST-0281,25.328335587046688,Invalid
TST-0303,37.20094745639459,Valid
TST-0254,22.757616565505444,Valid
TST-0322,18.6303089989693,Valid
TST-0139,17.402287448123683,Valid
TST-0257,37.487955662128655,Valid
TST-0033,16.399294141467696,Valid
TST-0112,49.97482125283453,Valid
TST-0021,27.72325941867125,Valid
TST-0083,18.420990201500032,Valid
TST-0150,26.7135835941042,Valid
TST-0265,22.86920914894098,Valid
TST-0227,33.961045832355815,Valid
TST-0170,23.9975487247802,Valid
TST-0318,28.17869658053725,Valid
TST-0097,15.845709530654702,Valid
TST-0152,34.07369085037645,Valid
TST-0084,58.86011220999943,Valid
TST-0124,16.43993326332498,Valid
TST-0098,32.77549783552675,Valid
TST-0341,29.488242802172028,Valid
TST-0042,31.499370906882238,Valid
TST-0189,18.696347457093665,Valid
TST-0285,23.05001414439793,Valid
TST-0020,22.36452278872582,Valid
TST-0314,44.19406711170362,Valid
